QuestionID,Section,Topic,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty,FreeTier
Q0001,Core,Ozone Depletion,Which element found in CFC and HCFC refrigerants is responsible for destroying stratospheric ozone?,Fluorine,Chlorine,Hydrogen,Carbon,B,"Chlorine is the ozone killer. When UV light breaks a CFC molecule apart in the stratosphere, the freed chlorine atom destroys ozone molecules over and over — one chlorine atom can take out thousands of them. Fluorine is the tempting wrong answer because it's also in the molecule, but fluorine does not deplete ozone.",Easy,TRUE
Q0002,Core,Ozone Depletion,What does the ozone layer in the stratosphere do for life on Earth?,Traps heat to keep the planet warm,Produces the oxygen we breathe,Filters out harmful ultraviolet (UV) radiation,Prevents acid rain from forming,C,"Stratospheric ozone acts as a sunscreen for the planet, absorbing harmful UV radiation before it reaches the surface. Less ozone means more UV, which increases skin cancer, cataracts, and crop damage. Trapping heat describes the greenhouse effect — a different problem.",Easy,TRUE
Q0003,Core,Ozone Depletion,Which list ranks refrigerant classes from HIGHEST to LOWEST ozone depletion potential (ODP)?,"HFC, HCFC, CFC","CFC, HCFC, HFC","HCFC, CFC, HFC","CFC, HFC, HCFC",B,"CFCs are the worst (highest ODP), HCFCs are milder, and HFCs have zero ODP. The pattern to remember: the more chlorine and the longer the molecule survives, the higher the ODP. HFCs contain no chlorine at all, so they can't deplete ozone.",Medium,FALSE
Q0004,Core,Ozone Depletion,Why do HCFC refrigerants like R-22 have a lower ozone depletion potential than CFCs like R-12?,HCFCs contain no chlorine,The hydrogen in HCFCs makes them break down in the lower atmosphere before most reach the stratosphere,HCFCs are heavier than air so they never rise,HCFCs are only used in small quantities,B,"The hydrogen atom in an HCFC makes the molecule less stable, so most of it breaks apart in the lower atmosphere before it can carry chlorine up to the ozone layer. HCFCs DO contain chlorine — that's why their ODP is low but not zero. Weight has nothing to do with it; atmospheric mixing carries these gases upward regardless.",Medium,FALSE
Q0005,Core,Ozone Depletion,The ozone depletion potential (ODP) scale is defined by assigning a value of 1.0 to which refrigerant?,R-22,R-134a,R-410A,CFC-11 (R-11),D,"CFC-11 (R-11) is the reference point — its ODP is defined as 1.0, and every other refrigerant is measured against it. R-12 also scores 1.0, but R-11 is the defined baseline. R-134a and R-410A are HFCs with an ODP of zero.",Hard,FALSE
Q0006,Core,Clean Air Act & Regulations,"Under Section 608 of the Clean Air Act, knowingly venting CFC and HCFC refrigerants during service has been illegal since what date?","July 1, 1992","November 15, 1995","January 1, 1996","January 1, 2018",A,"July 1, 1992 is the date venting of CFCs and HCFCs became illegal. November 15, 1995 is the tempting wrong answer — that's when the venting ban was extended to SUBSTITUTE refrigerants like HFCs. Keep the two dates straight: 1992 for the originals, 1995 for the substitutes.",Easy,TRUE
Q0007,Core,Clean Air Act & Regulations,Venting substitute refrigerants (such as HFC-134a and R-410A) has been prohibited since what date?,"July 1, 1992","November 14, 1994","November 15, 1995","January 1, 1996",C,"November 15, 1995 is when the venting prohibition was extended to substitutes such as HFCs. July 1, 1992 covers CFCs and HCFCs only. Even though HFCs don't harm the ozone layer, venting them is still illegal — they are powerful greenhouse gases.",Medium,FALSE
Q0008,Core,Clean Air Act & Regulations,Which of the following releases of refrigerant is NOT a violation of the Clean Air Act?,Venting a system to the air to save recovery time,The small puff released when disconnecting properly designed low-loss fittings after recovery,Releasing refrigerant because the recovery machine is broken,Blowing the charge out with nitrogen without recovering first,B,Tiny releases that happen while making a good-faith effort to recover — like the trace amount in a low-loss fitting — are called 'de minimis' releases and are legal. Everything else listed is straight-up venting. A broken recovery machine is never an excuse; you must recover before opening a system.,Easy,TRUE
Q0009,Core,Clean Air Act & Regulations,The EPA may pay an award of up to how much for information that leads to penalizing someone who illegally vents refrigerant?,"$1,000","$5,000","$10,000","$50,000",C,"The Clean Air Act allows the EPA to pay up to $10,000 to people who supply information leading to a penalty against a venting violator. Separate from the award, violators themselves face fines that can run tens of thousands of dollars per day, per violation — and technicians can lose their certification.",Medium,FALSE
Q0010,Core,Clean Air Act & Regulations,Who is legally allowed to purchase CFC and HCFC refrigerants like R-22?,Anyone over 18,Anyone who owns air conditioning equipment,EPA Section 608 certified technicians (or their employers),Only equipment manufacturers,C,The sales restriction limits the purchase of ozone-depleting refrigerants to technicians certified under Section 608 (or 609 for motor vehicle A/C). A homeowner can own equipment containing refrigerant but can't walk into a supply house and buy a jug of R-22. This is one reason your certification card matters on the job.,Medium,TRUE
